Date,Category,Description,Amount
2026-08-01,Rent,September room share,650
2026-08-02,Groceries,No Frills weekly shop,58.32
2026-08-03,Transit,Presto top-up,40
2026-08-04,Dining,Coffee with friend,6.75
2026-08-05,Subscriptions,Spotify,10.99
2026-08-06,Dining,Pizza night,24.5
2026-08-08,groceries,Metro run,33.1
2026-08-08,groceries,Metro run,33.1
2026-08-10,Entertainment,Movie ticket,15
2026-08-11,Transit,Presto top-up,40
2026-08-12,Dining,Sushi with roommates,,
2026-08-14,Subscriptions,Netflix,16.49
2026-08-15,Groceries,No Frills weekly shop,61.2
2026-08-16,Dining,Late night snacks,9.4
2026-08-18,Shopping,New headphones,410
2026-08-19,Transit,Presto top-up,40
2026-08-21,Groceries,No Frills weekly shop,55.8
2026-08-23,Dining,Coffee run,5.25
2026-08-27,Subscriptions,Spotify,10.99
2026-08-29,Groceries,Metro run,29.9
